mainisland,areatype,province,regencycity,year,pov_poorpeopleamount,pov_povertyline,pov_povertydepthindex,pov_povertyseverityindex,pov_poorpeoplepercentage,edu_underprimaryschool,ed_graduatedprimjunior,ed_graduatedoverhs,ed_literacyrate15to24,ed_literacyrate15to55,ed_schoolenrollrate7to12,ed_schoolenrollrate13to15,emp_unemployedperc,emp_employedinform,emp_employedform,emp_employedagric,emp_employednonagric,exp_poorfoodperc,exp_notpoorfoodperc,exp_bothfoodperc,housing_decentwaterperc,housing_privatetoiletperc,gov_aidreceiverperc,gov_totalkgpermonth,gov_priceperkg
Sumatera,Kabupaten,Aceh,Simeulue,2021,18.25,458896,2.37,0.5,18.98,6.37,65.35,28.28,98.76,99.62,100.00,100.00,47.67,46.89,5.44,44.50,7.82,65.47,60.47,61.42,77.15,48.28,36.19,14.90,12509
Sumatera,Kabupaten,Aceh,Aceh Singkil,2021,25.48,487249,3.67,0.91,20.36,15.53,56.19,28.27,100.00,99.45,99.89,96.96,53.31,24.57,22.12,29.47,17.22,68.71,61.17,62.71,74.63,74.36,"25.83
",5.08,15562
Sumatera,Kabupaten,Aceh,Aceh Selatan,2021,32.25,418689,1.69,0.4,13.18,11.55,65.60,22.84,100.00,99.97,100.00,100.00,50.63,31.94,17.44,32.24,17.13,66.24,64.16,64.43,"77.45
",57.90,56.57,10.50,11402
Sumatera,Kabupaten,Aceh,Aceh Tenggara,2021,29.31,404725,2.51,0.71,13.41,11.18,48.31,40.51,100.00,100.00,100.00,100.00,42.14,38.88,18.98,35.75,22.11,65.90,"60.91
",61.58,84.12,67.40,10.94,8.99,10321
Sumatera,Kabupaten,Aceh,Aceh Timur,2021,63.69,460422,2.31,0.54,14.45,10.83,62.22,26.95,100.00,99.50,98.52,100.00,52.6,32.92,14.48,32.30,15.10,61.16,61.02,61.04,76.42,64.50,29.48,10.71,10435
Sumatera,Kabupaten,Aceh,Aceh Tengah,2021,32.72,505933,2.88,0.8,15.26,6.66,62.52,30.82,100.00,100.00,100.00,94.36,33.6,59.37,7.03,55.63,10.77,64.51,58.14,59.11,87,84.42,41.91,14.58,10729
Sumatera,Kabupaten,Aceh,Aceh Barat,2021,39.83,533712,3.82,1.09,18.81,15.96,52.36,31.68,100.00,99.17,100.00,96.82,52.06,34.23,13.71,32.30,15.63,68.75,58.21,60.19,98.55,86.60,53.13,10.13,13872
Sumatera,Kabupaten,Aceh,Aceh Besar,2021,60.26,489498,2.32,0.58,14.05,11.01,46.25,42.73,100.00,100.00,100.00,100.00,46.17,31.25,22.59,28.19,25.65,68.49,60.66,61.76,88.63,79.66,40.07,10.98,11512
Sumatera,Kabupaten,Aceh,Pidie,2021,88.53,504452,3.04,0.84,19.59,10.35,55.04,34.62,100.00,100.00,100.00,98.00,46.43,38.17,15.40,33.57,20.00,67.11,63.35,64.09,83.18,46.90,53.75,9.74,10658
Sumatera,Kabupaten,Aceh,Bireuen,2021,63.02,422685,2.07,0.4,13.25,6.38,58.75,34.87,100.00,100.00,100.00,95.59,44.52,35.54,19.94,29.77,25.71,65.80,64.2,64.41,91.64,78.73,49.53,10.54,11021
